time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966185,802975,1385437,-28.625,29,10,1,1980-01-06T03:23:05,1633358427.156044,2021-10-04T17:40:27
315966192,894112,1392503,-29.625,91,10,1,1980-01-06T03:23:12,1633358434.036252,2021-10-04T17:40:34
315966200,107038,1399483,-29.9375,149,10,1,1980-01-06T03:23:20,1633358440.3676488,2021-10-04T17:40:40
315966207,136798,1406514,-30.0,211,10,1,1980-01-06T03:23:27,1633358447.276093,2021-10-04T17:40:47
315966213,155205,1412521,-30.4375,7,10,1,1980-01-06T03:23:33,1633358456.316412,2021-10-04T17:40:56
315966221,196928,1420573,-30.8125,79,10,1,1980-01-06T03:23:41,1633358463.225884,2021-10-04T17:41:03
315966228,296794,1427670,-31.4375,141,10,1,1980-01-06T03:23:48,1633358470.1360009,2021-10-04T17:41:10
315966235,456312,1434843,-31.75,203,10,1,1980-01-06T03:23:55,1633358477.026233,2021-10-04T17:41:17
315966242,394742,1441756,-32.25,5,10,1,1980-01-06T03:24:02,1633358483.375908,2021-10-04T17:41:23
315966249,396810,1448773,-33.0625,67,10,1,1980-01-06T03:24:09,1633358490.316037,2021-10-04T17:41:30
315966256,484058,1455864,-33.375,129,10,1,1980-01-06T03:24:16,1633358497.2060728,2021-10-04T17:41:37
315966262,574311,1461943,-33.3125,181,10,1,1980-01-06T03:24:22,1633358503.506868,2021-10-04T17:41:43
315966269,596911,1468981,-33.125,243,10,1,1980-01-06T03:24:29,1633358510.4361799,2021-10-04T17:41:50
315966277,594158,1476983,-32.875,59,10,1,1980-01-06T03:24:37,1633358519.547065,2021-10-04T17:41:59
315966283,596802,1482968,-32.875,111,10,1,1980-01-06T03:24:43,1633358525.896517,2021-10-04T17:42:05
315966290,654179,1490014,-33.5,169,10,1,1980-01-06T03:24:50,1633358532.876133,2021-10-04T17:42:12
315966297,674152,1497054,-33.625,231,10,1,1980-01-06T03:24:57,1633358539.1558208,2021-10-04T17:42:19
315966304,740296,1504063,-33.875,37,10,1,1980-01-06T03:25:04,1633358546.086,2021-10-04T17:42:26
315966311,748037,1511059,-34.75,99,10,1,1980-01-06T03:25:11,1633358553.086217,2021-10-04T17:42:33
315966318,778452,1518101,-34.625,161,10,1,1980-01-06T03:25:18,1633358559.956197,2021-10-04T17:42:39
315966324,797759,1524113,-34.8125,213,10,1,1980-01-06T03:25:24,1633358566.306316,2021-10-04T17:42:46
315966331,788342,1531117,-35.4375,19,10,1,1980-01-06T03:25:31,1633358573.256188,2021-10-04T17:42:53
315966337,798813,1537106,-35.6875,71,10,1,1980-01-06T03:25:37,1633358579.655669,2021-10-04T17:42:59
315966345,810239,1545135,-36.0625,139,10,1,1980-01-06T03:25:45,1633358585.99642,2021-10-04T17:43:05
315966351,807518,1551114,-36.3125,191,10,1,1980-01-06T03:25:51,1633358592.296005,2021-10-04T17:43:12
315966358,811034,1558134,-36.3125,253,10,1,1980-01-06T03:25:58,1633358599.135828,2021-10-04T17:43:19
315966364,830235,1564146,-36.4375,49,10,1,1980-01-06T03:26:04,1633358605.4462929,2021-10-04T17:43:25
315966371,930509,1571248,-36.5,111,10,1,1980-01-06T03:26:11,1633358614.536424,2021-10-04T17:43:34
315966379,10344,1578334,-36.6875,173,10,1,1980-01-06T03:26:19,1633358620.876869,2021-10-04T17:43:40
315966386,17659,1585412,-37.0,235,10,1,1980-01-06T03:26:26,1633358627.756196,2021-10-04T17:43:47
315966392,60273,1591383,-37.1875,31,10,1,1980-01-06T03:26:32,1633358634.075773,2021-10-04T17:43:54
315966400,343060,1599456,-37.625,99,10,1,1980-01-06T03:26:40,1633358641.596184,2021-10-04T17:44:01
315966406,433425,1605630,-38.3125,155,10,1,1980-01-06T03:26:46,1633358647.9163759,2021-10-04T17:44:07
