time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966820,794000,2019007,2019007,2019007,51212,9,-11,0,0,0,54,11,0,1980-01-06T03:33:40,1633359060.0328128,2021-10-04T17:51:00
315966834,22000,2032223,2032223,2032223,51543,9,-11,0,0,0,129,11,0,1980-01-06T03:33:54,1633359075.541385,2021-10-04T17:51:15
315966848,268000,2046454,2046454,2046454,51903,9,-11,0,0,0,233,11,0,1980-01-06T03:34:08,1633359089.4717798,2021-10-04T17:51:29
315966862,511000,2060683,2060683,2060683,52267,9,-11,0,0,0,85,11,0,1980-01-06T03:34:22,1633359102.790045,2021-10-04T17:51:42
315966877,770000,2075927,2075927,2075927,52657,9,-11,0,0,0,219,11,0,1980-01-06T03:34:37,1633359117.898936,2021-10-04T17:51:57
315966890,999000,2089143,2089143,2089143,52989,9,-11,0,0,0,39,11,0,1980-01-06T03:34:50,1633359131.188933,2021-10-04T17:52:11
315966904,219000,2102350,2102350,2102350,53321,9,-11,0,0,0,115,11,0,1980-01-06T03:35:04,1633359146.337769,2021-10-04T17:52:26
315966919,473000,2117587,2117587,2117587,53712,9,-11,0,0,0,250,11,0,1980-01-06T03:35:19,1633359158.9777129,2021-10-04T17:52:38
315966933,717000,2131817,2131817,2131817,54076,9,-11,0,0,0,102,11,0,1980-01-06T03:35:33,1633359174.5585198,2021-10-04T17:52:54
315966947,959000,2146046,2146046,2146046,54437,9,-11,0,0,0,207,11,0,1980-01-06T03:35:47,1633359188.4670599,2021-10-04T17:53:08
315966961,183000,2159257,2159257,2159257,54766,9,-11,0,0,0,24,11,0,1980-01-06T03:36:01,1633359201.675981,2021-10-04T17:53:21
315966974,408000,2172469,2172469,2172469,55105,9,-11,0,0,0,107,11,0,1980-01-06T03:36:14,1633359214.3456159,2021-10-04T17:53:34
