time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian
315967426,336500,2624577,0,230,2556751,150,2556951,18,2486551,35,2556951,41,13,0,1980-01-06T03:43:46
315967427,336400,2625577,0,230,2556751,150,2556951,18,2486551,35,2556951,52,13,0,1980-01-06T03:43:47
315967428,336400,2626577,0,230,2556751,150,2556951,18,2486551,35,2556951,62,13,0,1980-01-06T03:43:48
315967429,336500,2627577,0,230,2556751,150,2556951,18,2486551,35,2556951,73,13,0,1980-01-06T03:43:49
315967430,336400,2628577,0,230,2556751,150,2556951,18,2486551,35,2556951,85,13,0,1980-01-06T03:43:50
315967431,336400,2629577,0,230,2556751,150,2556951,18,2486551,35,2556951,95,13,0,1980-01-06T03:43:51
315967432,336500,2630577,0,230,2556751,150,2556951,18,2486551,35,2556951,106,13,0,1980-01-06T03:43:52
315967433,336400,2631577,0,230,2556751,150,2556951,18,2486551,35,2556951,117,13,0,1980-01-06T03:43:53
315967434,336400,2632577,0,230,2556751,150,2556951,18,2486551,35,2556951,127,13,0,1980-01-06T03:43:54
315967435,336500,2633577,3,231,2633551,150,2556951,19,2633551,35,2556951,139,13,0,1980-01-06T03:43:55
315967436,336400,2634577,3,231,2633551,150,2556951,19,2633551,35,2556951,150,13,0,1980-01-06T03:43:56
315967437,336400,2635577,3,231,2633551,150,2556951,19,2633551,35,2556951,160,13,0,1980-01-06T03:43:57
315967438,336500,2636577,3,231,2633551,150,2556951,19,2633551,35,2556951,171,13,0,1980-01-06T03:43:58
315967439,336400,2637577,3,231,2633551,150,2556951,19,2633551,35,2556951,182,13,0,1980-01-06T03:43:59
315967440,336400,2638577,3,231,2633551,150,2556951,19,2633551,35,2556951,193,13,0,1980-01-06T03:44:00
315967441,336500,2639577,3,231,2633551,150,2556951,19,2633551,35,2556951,204,13,0,1980-01-06T03:44:01
315967442,336400,2640577,3,231,2633551,150,2556951,19,2633551,35,2556951,215,13,0,1980-01-06T03:44:02
315967443,336400,2641577,3,231,2633551,150,2556951,19,2633551,35,2556951,225,13,0,1980-01-06T03:44:03
315967444,336500,2642577,3,231,2633551,150,2556951,19,2633551,35,2556951,236,13,0,1980-01-06T03:44:04
315967445,336400,2643577,3,231,2633551,150,2556951,19,2633551,35,2556951,248,13,0,1980-01-06T03:44:05
315967446,336400,2644577,1,236,2644551,150,2556951,19,2633551,36,2643751,2,13,0,1980-01-06T03:44:06
315967447,336500,2645577,1,241,2645551,150,2556951,19,2633551,36,2643751,13,13,0,1980-01-06T03:44:07
315967448,336400,2646577,1,246,2646551,150,2556951,19,2633551,36,2643751,24,13,0,1980-01-06T03:44:08
315967449,336400,2647577,1,251,2647551,150,2556951,19,2633551,36,2643751,34,13,0,1980-01-06T03:44:09
315967450,336500,2648577,1,0,2648551,150,2556951,19,2633551,36,2643751,46,13,0,1980-01-06T03:44:10
315967451,336400,2649577,1,5,2649551,150,2556951,19,2633551,36,2643751,57,13,0,1980-01-06T03:44:11
315967452,336400,2650577,1,10,2650551,150,2556951,19,2633551,36,2643751,67,13,0,1980-01-06T03:44:12
315967453,336500,2651577,1,15,2651551,150,2556951,19,2633551,36,2643751,78,13,0,1980-01-06T03:44:13
315967454,336400,2652577,1,20,2652551,150,2556951,19,2633551,36,2643751,89,13,0,1980-01-06T03:44:14
315967455,336400,2653577,1,25,2653551,150,2556951,19,2633551,36,2643751,100,13,0,1980-01-06T03:44:15
315967456,336500,2654577,1,30,2654551,150,2556951,19,2633551,36,2643751,111,13,0,1980-01-06T03:44:16
315967457,336400,2655577,1,35,2655551,150,2556951,19,2633551,36,2643751,122,13,0,1980-01-06T03:44:17
315967458,336400,2656577,1,40,2656551,150,2556951,19,2633551,36,2643751,132,13,0,1980-01-06T03:44:18
315967459,336500,2657577,1,45,2657551,150,2556951,19,2633551,36,2643751,143,13,0,1980-01-06T03:44:19
315967460,336400,2658577,1,50,2658551,150,2556951,19,2633551,36,2643751,155,13,0,1980-01-06T03:44:20
315967461,336400,2659577,1,55,2659551,150,2556951,19,2633551,36,2643751,165,13,0,1980-01-06T03:44:21
315967462,336500,2660577,1,60,2660551,150,2556951,19,2633551,36,2643751,176,13,0,1980-01-06T03:44:22
315967464,336400,2662577,1,70,2662551,150,2556951,19,2633551,36,2643751,197,13,0,1980-01-06T03:44:24
315967465,336500,2663577,1,75,2663551,150,2556951,19,2633551,36,2643751,209,13,0,1980-01-06T03:44:25
315967466,336400,2664577,1,80,2664551,150,2556951,19,2633551,36,2643751,220,13,0,1980-01-06T03:44:26
315967467,336400,2665577,1,85,2665551,150,2556951,19,2633551,36,2643751,230,13,0,1980-01-06T03:44:27
315967468,336500,2666577,1,90,2666551,150,2556951,19,2633551,36,2643751,241,13,0,1980-01-06T03:44:28
315967469,336400,2667577,1,95,2667551,150,2556951,19,2633551,36,2643751,252,13,0,1980-01-06T03:44:29
315967470,336400,2668577,1,100,2668551,150,2556951,19,2633551,36,2643751,7,13,0,1980-01-06T03:44:30
315967471,336500,2669577,1,105,2669551,150,2556951,19,2633551,36,2643751,18,13,0,1980-01-06T03:44:31
315967472,336400,2670577,1,110,2670551,150,2556951,19,2633551,36,2643751,29,13,0,1980-01-06T03:44:32
315967473,336400,2671577,1,115,2671551,150,2556951,19,2633551,36,2643751,39,13,0,1980-01-06T03:44:33
315967474,336500,2672577,1,120,2672551,150,2556951,19,2633551,36,2643751,50,13,0,1980-01-06T03:44:34
315967475,336400,2673577,1,125,2673551,150,2556951,19,2633551,36,2643751,62,13,0,1980-01-06T03:44:35
315967476,336400,2674577,1,130,2674551,150,2556951,19,2633551,36,2643751,72,13,0,1980-01-06T03:44:36
315967477,336500,2675577,1,135,2675551,150,2556951,19,2633551,36,2643751,83,13,0,1980-01-06T03:44:37
315967478,336400,2676577,1,140,2676551,150,2556951,19,2633551,36,2643751,94,13,0,1980-01-06T03:44:38
315967479,336400,2677577,1,145,2677551,150,2556951,19,2633551,36,2643751,104,13,0,1980-01-06T03:44:39
315967480,336500,2678577,1,150,2678551,150,2556951,19,2633551,36,2643751,116,13,0,1980-01-06T03:44:40
315967481,336400,2679577,1,155,2679551,150,2556951,19,2633551,36,2643751,127,13,0,1980-01-06T03:44:41
315967482,336400,2680577,1,160,2680551,150,2556951,19,2633551,36,2643751,137,13,0,1980-01-06T03:44:42
315967483,336500,2681577,1,165,2681551,150,2556951,19,2633551,36,2643751,148,13,0,1980-01-06T03:44:43
315967484,336400,2682577,1,170,2682551,150,2556951,19,2633551,36,2643751,159,13,0,1980-01-06T03:44:44
315967485,336400,2683577,1,175,2683551,150,2556951,19,2633551,36,2643751,170,13,0,1980-01-06T03:44:45
315967486,336500,2684577,1,180,2684551,150,2556951,19,2633551,36,2643751,181,13,0,1980-01-06T03:44:46
315967487,336400,2685577,1,185,2685551,150,2556951,19,2633551,36,2643751,192,13,0,1980-01-06T03:44:47
315967488,336400,2686577,1,190,2686551,150,2556951,19,2633551,36,2643751,202,13,0,1980-01-06T03:44:48
315967489,336500,2687577,1,195,2687551,150,2556951,19,2633551,36,2643751,213,13,0,1980-01-06T03:44:49
315967490,336400,2688577,1,200,2688551,150,2556951,19,2633551,36,2643751,225,13,0,1980-01-06T03:44:50
315967491,336400,2689577,1,205,2689551,150,2556951,19,2633551,36,2643751,235,13,0,1980-01-06T03:44:51
315967492,336500,2690577,1,210,2690551,150,2556951,19,2633551,36,2643751,246,13,0,1980-01-06T03:44:52
315967493,336400,2691577,1,215,2691551,150,2556951,19,2633551,36,2643751,1,13,0,1980-01-06T03:44:53
315967494,336400,2692577,1,220,2692551,150,2556951,19,2633551,36,2643751,11,13,0,1980-01-06T03:44:54
315967495,336500,2693577,1,225,2693551,150,2556951,19,2633551,36,2643751,23,13,0,1980-01-06T03:44:55
315967496,336400,2694577,1,230,2694551,150,2556951,19,2633551,36,2643751,34,13,0,1980-01-06T03:44:56
315967497,336400,2695577,1,235,2695551,150,2556951,19,2633551,36,2643751,44,13,0,1980-01-06T03:44:57
315967498,454000,2696577,1,240,2696551,150,2556951,19,2633551,36,2643751,55,13,0,1980-01-06T03:44:58
315967499,453900,2697577,1,245,2697551,150,2556951,19,2633551,36,2643751,66,13,0,1980-01-06T03:44:59
315967500,453900,2698577,1,250,2698551,150,2556951,19,2633551,36,2643751,77,13,0,1980-01-06T03:45:00
315967501,454000,2699577,1,255,2699551,150,2556951,19,2633551,36,2643751,88,13,0,1980-01-06T03:45:01
315967502,453900,2700577,1,4,2700551,150,2556951,19,2633551,36,2643751,99,13,0,1980-01-06T03:45:02
315967503,453900,2701577,1,9,2701551,150,2556951,19,2633551,36,2643751,109,13,0,1980-01-06T03:45:03
315967504,454000,2702577,1,14,2702551,150,2556951,19,2633551,36,2643751,120,13,0,1980-01-06T03:45:04
315967505,453900,2703577,1,19,2703551,150,2556951,19,2633551,36,2643751,132,13,0,1980-01-06T03:45:05
315967506,453900,2704577,0,20,2703751,151,2703951,19,2633551,37,2703951,142,13,0,1980-01-06T03:45:06
315967507,454000,2705577,0,20,2703751,151,2703951,19,2633551,37,2703951,153,13,0,1980-01-06T03:45:07
315967508,453900,2706577,0,20,2703751,151,2703951,19,2633551,37,2703951,164,13,0,1980-01-06T03:45:08
315967509,453900,2707577,0,20,2703751,151,2703951,19,2633551,37,2703951,174,13,0,1980-01-06T03:45:09
315967510,454000,2708577,0,20,2703751,151,2703951,19,2633551,37,2703951,186,13,0,1980-01-06T03:45:10
315967511,453900,2709577,0,20,2703751,151,2703951,19,2633551,37,2703951,197,13,0,1980-01-06T03:45:11
315967512,453900,2710577,0,20,2703751,151,2703951,19,2633551,37,2703951,207,13,0,1980-01-06T03:45:12
315967513,454000,2711577,0,20,2703751,151,2703951,19,2633551,37,2703951,218,13,0,1980-01-06T03:45:13
315967514,453900,2712577,0,20,2703751,151,2703951,19,2633551,37,2703951,229,13,0,1980-01-06T03:45:14
315967515,453900,2713577,0,20,2703751,151,2703951,19,2633551,37,2703951,240,13,0,1980-01-06T03:45:15
315967516,454000,2714577,0,20,2703751,151,2703951,19,2633551,37,2703951,251,13,0,1980-01-06T03:45:16
315967517,453900,2715577,0,20,2703751,151,2703951,19,2633551,37,2703951,6,13,0,1980-01-06T03:45:17
315967518,453900,2716577,0,20,2703751,151,2703951,19,2633551,37,2703951,16,13,0,1980-01-06T03:45:18
315967519,454000,2717577,0,20,2703751,151,2703951,19,2633551,37,2703951,27,13,0,1980-01-06T03:45:19
