time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
315968623,905100,3820989,-15.204460144042969,3.311000108718872,3.2830770015716553,239,13,0,1980-01-06T04:03:43
315968624,905100,3821989,-15.50185775756836,3.311000108718872,3.2895236015319824,251,13,0,1980-01-06T04:03:44
315968625,905100,3822989,-15.204460144042969,3.311000108718872,3.302417516708374,5,13,0,1980-01-06T04:03:45
315968626,905100,3823989,-15.50185775756836,3.311000108718872,3.2959706783294678,16,13,0,1980-01-06T04:03:46
315968627,905100,3824989,-15.50185775756836,3.311000108718872,3.2959706783294678,28,13,0,1980-01-06T04:03:47
315968628,905100,3825989,-15.50185775756836,3.311000108718872,3.2959706783294678,38,13,0,1980-01-06T04:03:48
315968629,905100,3826989,-15.50185775756836,3.311000108718872,3.3153114318847656,48,13,0,1980-01-06T04:03:49
315968630,905100,3827989,-15.50185775756836,3.311000108718872,3.31369948387146,60,13,0,1980-01-06T04:03:50
315968631,905100,3828989,-15.50185775756836,3.311000108718872,3.3185346126556396,71,13,0,1980-01-06T04:03:51
315968632,905100,3829989,-15.50185775756836,3.311000108718872,3.2959706783294678,81,13,0,1980-01-06T04:03:52
315968633,905100,3830989,-15.50185775756836,3.311000108718872,3.2959706783294678,93,13,0,1980-01-06T04:03:53
315968634,905100,3831989,-15.50185775756836,3.311000108718872,3.302417516708374,103,13,0,1980-01-06T04:03:54
315968635,905100,3832989,-15.50185775756836,3.311000108718872,3.3120880126953125,113,13,0,1980-01-06T04:03:55
315968636,905100,3833989,-15.50185775756836,3.311000108718872,3.2895236015319824,126,13,0,1980-01-06T04:03:56
315968637,905100,3834989,-15.50185775756836,3.311000108718872,3.287912130355835,136,13,0,1980-01-06T04:03:57
315968638,905100,3835989,-15.50185775756836,3.311000108718872,3.2814650535583496,146,13,0,1980-01-06T04:03:58
315968639,905100,3836989,-15.50185775756836,3.311000108718872,3.2814650535583496,158,13,0,1980-01-06T04:03:59
