time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357387,954459,795,-54,12,-54,2021-10-04T17:23:07,1633357387.958472,2021-10-04T17:23:07
1633357388,546185,796,-54,12,-55,2021-10-04T17:23:08,1633357388.549138,2021-10-04T17:23:08
1633357389,124145,797,-52,12,-53,2021-10-04T17:23:09,1633357389.127691,2021-10-04T17:23:09
1633357389,734513,798,-54,12,-55,2021-10-04T17:23:09,1633357389.738249,2021-10-04T17:23:09
1633357392,384800,799,-59,12,-60,2021-10-04T17:23:12,1633357392.388159,2021-10-04T17:23:12
1633357392,974588,800,-57,12,-58,2021-10-04T17:23:12,1633357392.978065,2021-10-04T17:23:12
1633357393,564660,801,-56,12,-57,2021-10-04T17:23:13,1633357393.568833,2021-10-04T17:23:13
1633357394,144570,802,-58,12,-59,2021-10-04T17:23:14,1633357394.148153,2021-10-04T17:23:14
1633357394,734499,803,-59,13,-60,2021-10-04T17:23:14,1633357394.738184,2021-10-04T17:23:14
1633357395,334237,804,-52,12,-53,2021-10-04T17:23:15,1633357395.337943,2021-10-04T17:23:15
1633357395,924563,805,-52,13,-53,2021-10-04T17:23:15,1633357395.928976,2021-10-04T17:23:15
1633357399,184658,806,-53,13,-54,2021-10-04T17:23:19,1633357399.187746,2021-10-04T17:23:19
1633357399,784493,807,-53,14,-53,2021-10-04T17:23:19,1633357399.787377,2021-10-04T17:23:19
1633357400,374846,808,-57,12,-58,2021-10-04T17:23:20,1633357400.37786,2021-10-04T17:23:20
1633357400,964570,809,-53,12,-54,2021-10-04T17:23:20,1633357400.968863,2021-10-04T17:23:20
1633357401,584445,810,-53,12,-54,2021-10-04T17:23:21,1633357401.58746,2021-10-04T17:23:21
1633357402,164425,811,-58,12,-58,2021-10-04T17:23:22,1633357402.167346,2021-10-04T17:23:22
1633357405,444838,812,-54,13,-55,2021-10-04T17:23:25,1633357405.447371,2021-10-04T17:23:25
1633357406,24677,813,-54,13,-54,2021-10-04T17:23:26,1633357406.028151,2021-10-04T17:23:26
1633357406,624686,814,-52,12,-53,2021-10-04T17:23:26,1633357406.627737,2021-10-04T17:23:26
1633357407,204887,815,-52,12,-53,2021-10-04T17:23:27,1633357407.209049,2021-10-04T17:23:27
1633357407,784531,816,-53,11,-53,2021-10-04T17:23:27,1633357407.787909,2021-10-04T17:23:27
1633357408,364698,817,-53,13,-53,2021-10-04T17:23:28,1633357408.368467,2021-10-04T17:23:28
1633357411,64743,818,-53,12,-54,2021-10-04T17:23:31,1633357411.06765,2021-10-04T17:23:31
1633357411,644349,819,-52,12,-53,2021-10-04T17:23:31,1633357411.648112,2021-10-04T17:23:31
