time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357381,214035,True,787,380,-55,12,-56,2021-10-04T17:23:01,1633357381.216095,2021-10-04T17:23:01
1633357381,804760,True,788,381,-55,10,-57,2021-10-04T17:23:01,1633357381.807374,2021-10-04T17:23:01
1633357382,384093,True,789,382,-55,12,-55,2021-10-04T17:23:02,1633357382.388483,2021-10-04T17:23:02
1633357382,964448,True,790,383,-54,12,-55,2021-10-04T17:23:02,1633357382.966561,2021-10-04T17:23:02
1633357383,544048,True,791,384,-53,11,-54,2021-10-04T17:23:03,1633357383.546112,2021-10-04T17:23:03
1633357386,184302,True,792,385,-54,13,-54,2021-10-04T17:23:06,1633357386.186307,2021-10-04T17:23:06
1633357386,775811,True,793,386,-54,11,-55,2021-10-04T17:23:06,1633357386.777621,2021-10-04T17:23:06
1633357387,374111,True,794,387,-54,11,-55,2021-10-04T17:23:07,1633357387.376085,2021-10-04T17:23:07
1633357387,954131,True,795,388,-54,12,-54,2021-10-04T17:23:07,1633357387.956182,2021-10-04T17:23:07
1633357388,545833,True,796,389,-54,12,-55,2021-10-04T17:23:08,1633357388.547631,2021-10-04T17:23:08
1633357389,124066,True,797,390,-52,12,-53,2021-10-04T17:23:09,1633357389.125794,2021-10-04T17:23:09
1633357389,734189,True,798,391,-54,12,-55,2021-10-04T17:23:09,1633357389.736195,2021-10-04T17:23:09
1633357392,384498,True,799,392,-59,12,-60,2021-10-04T17:23:12,1633357392.386475,2021-10-04T17:23:12
1633357392,974271,True,800,393,-57,12,-58,2021-10-04T17:23:12,1633357392.976555,2021-10-04T17:23:12
1633357393,564370,True,801,394,-56,12,-57,2021-10-04T17:23:13,1633357393.567488,2021-10-04T17:23:13
1633357394,144246,True,802,395,-58,12,-59,2021-10-04T17:23:14,1633357394.146023,2021-10-04T17:23:14
1633357394,734188,True,803,396,-59,13,-60,2021-10-04T17:23:14,1633357394.736773,2021-10-04T17:23:14
1633357395,334158,True,804,397,-52,12,-53,2021-10-04T17:23:15,1633357395.336165,2021-10-04T17:23:15
1633357395,924483,True,805,398,-52,13,-53,2021-10-04T17:23:15,1633357395.926419,2021-10-04T17:23:15
1633357399,184338,True,806,400,-53,13,-54,2021-10-04T17:23:19,1633357399.186032,2021-10-04T17:23:19
1633357399,784165,True,807,401,-53,14,-53,2021-10-04T17:23:19,1633357399.785851,2021-10-04T17:23:19
1633357400,374536,True,808,402,-57,12,-58,2021-10-04T17:23:20,1633357400.376527,2021-10-04T17:23:20
1633357400,964253,True,809,403,-53,12,-54,2021-10-04T17:23:20,1633357400.965933,2021-10-04T17:23:20
1633357401,584131,True,810,404,-53,12,-54,2021-10-04T17:23:21,1633357401.585768,2021-10-04T17:23:21
1633357402,164097,True,811,405,-58,12,-58,2021-10-04T17:23:22,1633357402.16572,2021-10-04T17:23:22
1633357405,444372,True,812,407,-54,13,-55,2021-10-04T17:23:25,1633357405.445992,2021-10-04T17:23:25
1633357406,24349,True,813,408,-54,13,-54,2021-10-04T17:23:26,1633357406.026428,2021-10-04T17:23:26
1633357406,624380,True,814,409,-52,12,-53,2021-10-04T17:23:26,1633357406.626095,2021-10-04T17:23:26
1633357407,204556,True,815,410,-52,12,-53,2021-10-04T17:23:27,1633357407.206815,2021-10-04T17:23:27
1633357407,784184,True,816,411,-53,11,-53,2021-10-04T17:23:27,1633357407.786583,2021-10-04T17:23:27
1633357408,364359,True,817,412,-53,13,-53,2021-10-04T17:23:28,1633357408.366461,2021-10-04T17:23:28
1633357411,64259,True,818,413,-53,12,-54,2021-10-04T17:23:31,1633357411.06607,2021-10-04T17:23:31
1633357411,644266,True,819,414,-52,12,-53,2021-10-04T17:23:31,1633357411.646307,2021-10-04T17:23:31
1633357412,224203,True,820,415,-53,12,-54,2021-10-04T17:23:32,1633357412.225975,2021-10-04T17:23:32
1633357412,814726,True,821,416,-60,13,-60,2021-10-04T17:23:32,1633357412.816874,2021-10-04T17:23:32
