time_s,time_us,time_steady,dna_temp,heater_is_on,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966841,455800,2040395,19.86688232421875,0,93,13,0,1980-01-06T03:34:01,1633359082.500864,2021-10-04T17:51:22
315966855,455800,2054395,17.545654296875,1,244,13,0,1980-01-06T03:34:15,1633359096.40048,2021-10-04T17:51:36
315966868,455800,2067395,15.4461669921875,0,130,13,0,1980-01-06T03:34:28,1633359111.009505,2021-10-04T17:51:51
315966884,455800,2083395,18.8526611328125,0,48,13,0,1980-01-06T03:34:44,1633359124.8100078,2021-10-04T17:52:04
315966897,455800,2096395,19.57379150390625,1,188,13,0,1980-01-06T03:34:57,1633359137.498052,2021-10-04T17:52:17
315966912,455800,2111395,16.282440185546875,1,95,13,0,1980-01-06T03:35:12,1633359152.667724,2021-10-04T17:52:32
315966926,455800,2125395,17.09954833984375,0,248,13,0,1980-01-06T03:35:26,1633359168.188372,2021-10-04T17:52:48
315966940,455800,2139395,19.9085693359375,0,145,13,0,1980-01-06T03:35:40,1633359182.119992,2021-10-04T17:53:02
315966954,455800,2153395,16.738677978515625,1,40,13,0,1980-01-06T03:35:54,1633359195.36678,2021-10-04T17:53:15
315966967,455800,2166395,15.8203125,0,182,13,0,1980-01-06T03:36:07,1633359208.016193,2021-10-04T17:53:28
315966981,455800,2180395,20.281829833984375,0,77,13,0,1980-01-06T03:36:21,1633359221.285416,2021-10-04T17:53:41
315966994,455800,2193395,15.8203125,1,220,13,0,1980-01-06T03:36:34,1633359234.555476,2021-10-04T17:53:54
315967008,671600,2207395,18.248382568359375,0,114,13,0,1980-01-06T03:36:48,1633359247.804484,2021-10-04T17:54:07
315967021,671600,2220395,19.783355712890625,0,1,13,0,1980-01-06T03:37:01,1633359263.3146648,2021-10-04T17:54:23
315967035,671600,2234395,16.328338623046875,1,152,13,0,1980-01-06T03:37:15,1633359276.603965,2021-10-04T17:54:36
315967049,671600,2248395,16.6024169921875,0,49,13,0,1980-01-06T03:37:29,1633359289.89484,2021-10-04T17:54:49
315967062,671600,2261395,20.07489013671875,0,189,13,0,1980-01-06T03:37:42,1633359303.182788,2021-10-04T17:55:03
315967076,671600,2275395,14.92510986328125,1,86,13,0,1980-01-06T03:37:56,1633359316.4026968,2021-10-04T17:55:16
315967089,671600,2288395,17.766693115234375,0,227,13,0,1980-01-06T03:38:09,1633359329.692404,2021-10-04T17:55:29
315967103,787300,2302395,19.36309814453125,1,123,13,0,1980-01-06T03:38:23,1633359343.0118048,2021-10-04T17:55:43
315967115,787300,2314395,15.77374267578125,0,254,13,0,1980-01-06T03:38:35,1633359358.422109,2021-10-04T17:55:58
315967130,787300,2329395,19.27850341796875,0,161,13,0,1980-01-06T03:38:50,1633359371.7010078,2021-10-04T17:56:11
315967144,787300,2343395,15.0679931640625,1,58,13,0,1980-01-06T03:39:04,1633359384.90064,2021-10-04T17:56:24
315967157,787300,2356395,19.489654541015625,0,198,13,0,1980-01-06T03:39:17,1633359398.2303278,2021-10-04T17:56:38
315967171,787300,2370395,15.727142333984375,1,95,13,0,1980-01-06T03:39:31,1633359411.5202608,2021-10-04T17:56:51
315967184,787300,2383395,17.36785888671875,0,236,13,0,1980-01-06T03:39:44,1633359424.770864,2021-10-04T17:57:04
315967197,787300,2396395,19.0235595703125,1,120,13,0,1980-01-06T03:39:57,1633359437.5293329,2021-10-04T17:57:17
315967212,914400,2411395,15.4461669921875,1,27,13,0,1980-01-06T03:40:12,1633359453.629557,2021-10-04T17:57:33
315967225,914400,2424395,19.657745361328125,0,170,13,0,1980-01-06T03:40:25,1633359466.9589639,2021-10-04T17:57:46
315967239,914400,2438395,16.144439697265625,1,65,13,0,1980-01-06T03:40:39,1633359480.288657,2021-10-04T17:58:00
315967265,914400,2464395,18.98089599609375,1,92,13,0,1980-01-06T03:41:05,1633359506.778177,2021-10-04T17:58:26
315967279,914400,2478395,15.25762939453125,0,245,13,0,1980-01-06T03:41:19,1633359520.038837,2021-10-04T17:58:40
315967292,914400,2491395,19.193695068359375,0,129,13,0,1980-01-06T03:41:32,1633359532.6872919,2021-10-04T17:58:52
315967307,914400,2506395,19.27850341796875,1,36,13,0,1980-01-06T03:41:47,1633359548.8192809,2021-10-04T17:59:08
315967320,914400,2519395,16.144439697265625,0,177,13,0,1980-01-06T03:42:00,1633359562.107985,2021-10-04T17:59:22
315967333,914400,2532395,19.57379150390625,0,63,13,0,1980-01-06T03:42:13,1633359575.4290888,2021-10-04T17:59:35
315967347,914400,2546395,14.7816162109375,1,214,13,0,1980-01-06T03:42:27,1633359588.096793,2021-10-04T17:59:48
315967360,914400,2559395,19.40533447265625,0,101,13,0,1980-01-06T03:42:40,1633359601.41586,2021-10-04T18:00:01
315967374,914400,2573395,16.005889892578125,1,252,13,0,1980-01-06T03:42:54,1633359614.635752,2021-10-04T18:00:14
315967388,914400,2587395,18.204864501953125,0,148,13,0,1980-01-06T03:43:08,1633359628.495297,2021-10-04T18:00:28
315967403,154700,2601395,19.783355712890625,1,45,13,0,1980-01-06T03:43:23,1633359643.955736,2021-10-04T18:00:43
315967416,154700,2614395,15.25762939453125,0,186,13,0,1980-01-06T03:43:36,1633359657.1955888,2021-10-04T18:00:57
315967429,154700,2627395,19.57379150390625,0,70,13,0,1980-01-06T03:43:49,1633359669.824512,2021-10-04T18:01:09
315967443,154700,2641395,15.304840087890625,1,223,13,0,1980-01-06T03:44:03,1633359683.064208,2021-10-04T18:01:23
315967456,154700,2654395,19.657745361328125,0,108,13,0,1980-01-06T03:44:16,1633359696.384512,2021-10-04T18:01:36
315967470,154700,2668395,15.210296630859375,1,5,13,0,1980-01-06T03:44:30,1633359709.644937,2021-10-04T18:01:49
315967483,154700,2681395,19.32080078125,0,145,13,0,1980-01-06T03:44:43,1633359722.923833,2021-10-04T18:02:02
315967497,154700,2695395,16.874420166015625,1,42,13,0,1980-01-06T03:44:57,1633359736.144441,2021-10-04T18:02:16
315967511,272200,2709395,17.678436279296875,0,195,13,0,1980-01-06T03:45:11,1633359751.553529,2021-10-04T18:02:31
315967523,272200,2721395,18.073944091796875,1,69,13,0,1980-01-06T03:45:23,1633359764.3238769,2021-10-04T18:02:44
315967537,272200,2735395,16.190521240234375,0,220,13,0,1980-01-06T03:45:37,1633359777.625625,2021-10-04T18:02:57
315967551,272200,2749395,20.116363525390625,0,117,13,0,1980-01-06T03:45:51,1633359790.952201,2021-10-04T18:03:10
315967565,272200,2763395,15.54010009765625,1,14,13,0,1980-01-06T03:46:05,1633359804.74202,2021-10-04T18:03:24
315967579,272200,2777395,18.89544677734375,0,164,13,0,1980-01-06T03:46:19,1633359818.0021758,2021-10-04T18:03:38
315967591,272200,2789395,16.23651123046875,1,39,13,0,1980-01-06T03:46:31,1633359831.271509,2021-10-04T18:03:51
315967606,272200,2804395,16.190521240234375,0,202,13,0,1980-01-06T03:46:46,1633359846.701856,2021-10-04T18:04:06
315967618,272200,2816395,20.157806396484375,0,76,13,0,1980-01-06T03:46:58,1633359859.351661,2021-10-04T18:04:19
315967632,272200,2830395,14.877349853515625,1,229,13,0,1980-01-06T03:47:12,1633359872.582777,2021-10-04T18:04:32
315967645,272200,2843395,19.9085693359375,0,114,13,0,1980-01-06T03:47:25,1633359885.771328,2021-10-04T18:04:45
315967660,272200,2858395,15.9595947265625,1,21,13,0,1980-01-06T03:47:40,1633359899.630393,2021-10-04T18:04:59
315967673,272200,2871395,19.27850341796875,0,163,13,0,1980-01-06T03:47:53,1633359912.300597,2021-10-04T18:05:12
315967686,272200,2884395,16.556884765625,1,48,13,0,1980-01-06T03:48:06,1633359926.140605,2021-10-04T18:05:26
315967700,272200,2898395,17.501251220703125,0,201,13,0,1980-01-06T03:48:20,1633359938.751296,2021-10-04T18:05:38
315967713,272200,2911395,19.699676513671875,0,85,13,0,1980-01-06T03:48:33,1633359954.210937,2021-10-04T18:05:54
315967727,272200,2925395,15.4931640625,1,238,13,0,1980-01-06T03:48:47,1633359967.55982,2021-10-04T18:06:07
315967741,272200,2939395,19.531768798828125,0,133,13,0,1980-01-06T03:49:01,1633359981.4191039,2021-10-04T18:06:21
315967754,272200,2952395,18.723968505859375,1,19,13,0,1980-01-06T03:49:14,1633359994.1289759,2021-10-04T18:06:34
315967768,272200,2966395,15.25762939453125,1,170,13,0,1980-01-06T03:49:28,1633360007.469161,2021-10-04T18:06:47
315967781,272200,2979395,18.98089599609375,0,57,13,0,1980-01-06T03:49:41,1633360020.7491,2021-10-04T18:07:00
315967795,272200,2993395,17.189208984375,1,208,13,0,1980-01-06T03:49:55,1633360034.048717,2021-10-04T18:07:14
315967809,538600,3007395,17.766693115234375,0,104,13,0,1980-01-06T03:50:09,1633360049.489004,2021-10-04T18:07:29
315967822,538600,3020395,18.5948486328125,1,245,13,0,1980-01-06T03:50:22,1633360062.728452,2021-10-04T18:07:42
315967836,538600,3034395,16.144439697265625,0,142,13,0,1980-01-06T03:50:36,1633360075.957705,2021-10-04T18:07:55
315967849,538600,3047395,20.281829833984375,0,26,13,0,1980-01-06T03:50:49,1633360089.2681088,2021-10-04T18:08:09
315967863,538600,3061395,15.399139404296875,1,179,13,0,1980-01-06T03:51:03,1633360102.5078208,2021-10-04T18:08:22
315967876,538600,3074395,19.950225830078125,0,64,13,0,1980-01-06T03:51:16,1633360115.8074,2021-10-04T18:08:35
315967889,538600,3087395,15.866790771484375,1,206,13,0,1980-01-06T03:51:29,1633360128.391393,2021-10-04T18:08:48
315967902,538600,3100395,18.809814453125,0,91,13,0,1980-01-06T03:51:42,1633360141.6967878,2021-10-04T18:09:01
315967917,538600,3115395,19.615814208984375,0,254,13,0,1980-01-06T03:51:57,1633360157.756692,2021-10-04T18:09:17
315967931,538600,3129395,16.51129150390625,1,151,13,0,1980-01-06T03:52:11,1633360171.039204,2021-10-04T18:09:31
315967943,538600,3141395,18.378692626953125,0,25,13,0,1980-01-06T03:52:23,1633360184.206665,2021-10-04T18:09:44
315967957,538600,3155395,19.1512451171875,1,176,13,0,1980-01-06T03:52:37,1633360197.4365208,2021-10-04T18:09:57
315967970,538600,3168395,16.23651123046875,0,63,13,0,1980-01-06T03:52:50,1633360210.067864,2021-10-04T18:10:10
315967984,538600,3182395,20.405487060546875,0,213,13,0,1980-01-06T03:53:04,1633360223.346248,2021-10-04T18:10:23
315967997,538600,3195395,15.63372802734375,0,100,13,0,1980-01-06T03:53:17,1633360236.565629,2021-10-04T18:10:36
315968012,652200,3210395,19.9085693359375,0,7,13,0,1980-01-06T03:53:32,1633360252.5155928,2021-10-04T18:10:52
315968025,652200,3223395,14.68560791015625,1,148,13,0,1980-01-06T03:53:45,1633360265.7860649,2021-10-04T18:11:05
315968038,652200,3236395,19.9918212890625,0,32,13,0,1980-01-06T03:53:58,1633360278.4851,2021-10-04T18:11:18
315968052,652200,3250395,17.233917236328125,1,185,13,0,1980-01-06T03:54:12,1633360291.764829,2021-10-04T18:11:31
