time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965839,545500,1039577,0,14,1016151,93,1026751,6,956351,11,1026751,38,13,0,1980-01-06T03:17:19,1633358081.036829,2021-10-04T17:34:41
315965854,545500,1054577,0,14,1016151,93,1026751,6,956351,11,1026751,216,13,0,1980-01-06T03:17:34,1633358096.797669,2021-10-04T17:34:56
315965867,545600,1067577,0,14,1016151,93,1026751,6,956351,11,1026751,114,13,0,1980-01-06T03:17:47,1633358110.4770849,2021-10-04T17:35:10
315965881,545500,1081577,0,14,1016151,93,1026751,6,956351,11,1026751,24,13,0,1980-01-06T03:18:01,1633358125.436729,2021-10-04T17:35:25
315965897,545600,1097577,3,15,1095351,93,1026751,7,1095351,11,1026751,214,13,0,1980-01-06T03:18:17,1633358138.636972,2021-10-04T17:35:38
315965911,816800,1111577,0,18,1105951,118,1111351,7,1095351,12,1105551,124,13,0,1980-01-06T03:18:31,1633358152.380317,2021-10-04T17:35:52
315965925,816800,1125577,0,18,1105951,118,1111351,7,1095351,12,1105551,35,13,0,1980-01-06T03:18:45,1633358167.6770358,2021-10-04T17:36:07
315965939,816900,1139577,0,20,1132551,132,1135951,7,1095351,12,1105551,201,13,0,1980-01-06T03:18:59,1633358183.927284,2021-10-04T17:36:23
315965955,816800,1155577,0,20,1132551,132,1135951,7,1095351,12,1105551,135,13,0,1980-01-06T03:19:15,1633358197.106669,2021-10-04T17:36:37
315965969,816900,1169577,0,21,1157151,139,1165751,7,1095351,13,1165751,45,13,0,1980-01-06T03:19:29,1633358210.7867968,2021-10-04T17:36:50
315965982,816800,1182577,0,21,1157151,139,1165751,7,1095351,13,1165751,199,13,0,1980-01-06T03:19:42,1633358223.3167288,2021-10-04T17:37:03
315965998,816800,1198577,0,21,1157151,139,1165751,7,1095351,13,1165751,133,13,0,1980-01-06T03:19:58,1633358241.0266528,2021-10-04T17:37:21
315966012,816800,1212577,0,21,1157151,139,1165751,7,1095351,13,1165751,43,13,0,1980-01-06T03:20:12,1633358254.206709,2021-10-04T17:37:34
315966026,816900,1226577,0,21,1157151,139,1165751,7,1095351,13,1165751,209,13,0,1980-01-06T03:20:26,1633358267.9169638,2021-10-04T17:37:47
315966042,816800,1242577,1,26,1242151,139,1165751,8,1231351,14,1241551,143,13,0,1980-01-06T03:20:42,1633358283.626492,2021-10-04T17:38:03
315966056,816900,1256577,1,26,1242151,139,1165751,8,1231351,14,1241551,53,13,0,1980-01-06T03:20:56,1633358299.576484,2021-10-04T17:38:19
315966070,816800,1270577,1,26,1242151,139,1165751,8,1231351,14,1241551,219,13,0,1980-01-06T03:21:10,1633358312.778957,2021-10-04T17:38:32
