time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
315966958,212300,2157152,-37.30946288102293,30000.0,15.95428638704654,9177.1826171875,79,13,1,1980-01-06T03:35:58
315966959,212300,2158152,-38.32531192286949,30000.0,15.98919268381585,9177.1826171875,89,13,1,1980-01-06T03:35:59
315966960,212300,2159152,-38.22892724649753,30000.0,15.98541087233146,9177.1826171875,100,13,1,1980-01-06T03:36:00
315966961,212300,2160152,-38.28758240746165,30000.0,15.982538147113448,9177.1826171875,112,13,1,1980-01-06T03:36:01
315966962,212300,2161152,-38.2558769198803,30000.0,15.98129494196898,9177.1826171875,122,13,1,1980-01-06T03:36:02
315966963,212300,2162152,-37.41377500881781,30000.0,15.948048928080176,9177.1826171875,132,13,1,1980-01-06T03:36:03
315966964,212300,2163152,-37.435334946937566,30000.0,15.943714709410253,9177.1826171875,144,13,1,1980-01-06T03:36:04
315966965,212300,2164152,-37.466089555451774,30000.0,15.939752687191932,9177.1826171875,155,13,1,1980-01-06T03:36:05
315966966,212300,2165152,-38.343384037992564,30000.0,15.969210644877597,9177.1826171875,165,13,1,1980-01-06T03:36:06
315966967,212300,2166152,-37.479088922844674,30000.0,15.9402638747966,9177.1826171875,177,13,1,1980-01-06T03:36:07
315966968,212300,2167152,-38.05930264312692,30000.0,15.958024827948528,9177.1826171875,187,13,1,1980-01-06T03:36:08
315966969,212300,2168152,-38.47591276936582,30000.0,15.974411365534804,9177.1826171875,197,13,1,1980-01-06T03:36:09
315966970,212300,2169152,-37.457211937597435,30000.0,15.934210592837829,9177.1826171875,210,13,1,1980-01-06T03:36:10
315966971,212300,2170152,-37.45467547518963,30000.0,15.934109852078404,9177.1826171875,220,13,1,1980-01-06T03:36:11
315966972,212300,2171152,-38.361456149421954,30000.0,15.964743254167365,9177.1826171875,230,13,1,1980-01-06T03:36:12
315966973,212300,2172152,-38.46544998200568,30000.0,15.96883296930551,9177.1826171875,242,13,1,1980-01-06T03:36:13
315966974,212300,2173152,-38.292972339219865,30000.0,15.962055212777932,9177.1826171875,252,13,1,1980-01-06T03:36:14
315966975,212300,2174152,-38.48827788010438,30000.0,15.974894242617296,9177.1826171875,7,13,1,1980-01-06T03:36:15
315966976,212300,2175152,-37.40489738571114,30000.0,15.932140986782262,9177.1826171875,19,13,1,1980-01-06T03:36:16
315966977,212300,2176152,-37.4026779797952,30000.0,15.926861427175051,9177.1826171875,29,13,1,1980-01-06T03:36:17
315966978,212300,2177152,-37.43184731024519,30000.0,15.922838566856699,9177.1826171875,39,13,1,1980-01-06T03:36:18
315966979,212300,2178152,-37.556133914749424,30000.0,15.932952923722835,9177.1826171875,51,13,1,1980-01-06T03:36:19
315966980,212300,2179152,-37.39316623952452,30000.0,15.92648910518207,9177.1826171875,62,13,1,1980-01-06T03:36:20
315966981,212300,2180152,-38.516812744439974,30000.0,15.965677857764055,9177.1826171875,72,13,1,1980-01-06T03:36:21
315966982,212300,2181152,-38.28758240746165,30000.0,15.951491006479412,9177.1826171875,84,13,1,1980-01-06T03:36:22
315966983,212300,2182152,-37.3925321234701,30000.0,15.921271414649983,9177.1826171875,94,13,1,1980-01-06T03:36:23
315966984,212300,2183152,-37.40426326974084,30000.0,15.916550462956891,9177.1826171875,104,13,1,1980-01-06T03:36:24
315966985,212300,2184152,-38.43786626393994,30000.0,15.95739884026146,9177.1826171875,117,13,1,1980-01-06T03:36:25
315966986,212300,2185152,-38.33070185232782,30000.0,15.948015845475053,9177.1826171875,127,13,1,1980-01-06T03:36:26
315966987,212300,2186152,-38.53171428104397,30000.0,15.955918035184933,9177.1826171875,137,13,1,1980-01-06T03:36:27
