time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
315968110,360100,3307989,-16.39405059814453,3.311000108718872,3.2895236015319824,40,13,0,1980-01-06T03:55:10
315968111,360100,3308989,-16.39405059814453,3.311000108718872,3.2959706783294678,53,13,0,1980-01-06T03:55:11
315968112,360100,3309989,-16.39405059814453,3.311000108718872,3.2895236015319824,63,13,0,1980-01-06T03:55:12
315968113,360100,3310989,-16.39405059814453,3.311000108718872,3.2895236015319824,73,13,0,1980-01-06T03:55:13
315968114,360100,3311989,-16.39405059814453,3.311000108718872,3.2895236015319824,85,13,0,1980-01-06T03:55:14
315968115,360100,3312989,-16.39405059814453,3.312999963760376,3.2975823879241943,95,13,0,1980-01-06T03:55:15
315968116,360100,3313989,-16.39405059814453,3.311000108718872,3.2959706783294678,106,13,0,1980-01-06T03:55:16
315968117,360100,3314989,-16.39405059814453,3.311000108718872,3.291135549545288,118,13,0,1980-01-06T03:55:17
315968118,360100,3315989,-16.39405059814453,3.311000108718872,3.2895236015319824,128,13,0,1980-01-06T03:55:18
315968119,360100,3316989,-16.39405059814453,3.311000108718872,3.2895236015319824,138,13,0,1980-01-06T03:55:19
315968120,360100,3317989,-16.39405059814453,3.311000108718872,3.2830770015716553,150,13,0,1980-01-06T03:55:20
315968121,360100,3318989,-16.39405059814453,3.311000108718872,3.2814650535583496,161,13,0,1980-01-06T03:55:21
315968122,360100,3319989,-16.39405059814453,3.311000108718872,3.2782416343688965,171,13,0,1980-01-06T03:55:22
315968123,360100,3320989,-16.39405059814453,3.311000108718872,3.2830770015716553,183,13,0,1980-01-06T03:55:23
315968124,360100,3321989,-16.39405059814453,3.311000108718872,3.2750184535980225,193,13,0,1980-01-06T03:55:24
315968125,360100,3322989,-16.39405059814453,3.311000108718872,3.2750184535980225,203,13,0,1980-01-06T03:55:25
315968126,360100,3323989,-16.39405059814453,3.311000108718872,3.2750184535980225,216,13,0,1980-01-06T03:55:26
315968127,360100,3324989,-16.39405059814453,3.311000108718872,3.2814650535583496,226,13,0,1980-01-06T03:55:27
315968128,360100,3325989,-16.39405059814453,3.311000108718872,3.2814650535583496,236,13,0,1980-01-06T03:55:28
315968129,360100,3326989,-16.39405059814453,3.311000108718872,3.2750184535980225,248,13,0,1980-01-06T03:55:29
315968130,360100,3327989,-16.39405059814453,3.311000108718872,3.2959706783294678,2,13,0,1980-01-06T03:55:30
315968131,360100,3328989,-16.39405059814453,3.311000108718872,3.2895236015319824,13,13,0,1980-01-06T03:55:31
315968132,360100,3329989,-16.39405059814453,3.311000108718872,3.2895236015319824,25,13,0,1980-01-06T03:55:32
315968133,360100,3330989,-16.39405059814453,3.311000108718872,3.287912130355835,35,13,0,1980-01-06T03:55:33
315968134,360100,3331989,-16.39405059814453,3.311000108718872,3.2975823879241943,45,13,0,1980-01-06T03:55:34
315968135,360100,3332989,-16.39405059814453,3.311000108718872,3.2959706783294678,57,13,0,1980-01-06T03:55:35
315968136,360100,3333989,-16.09665298461914,3.311000108718872,3.287912130355835,68,13,0,1980-01-06T03:55:36
315968137,360100,3334989,-16.39405059814453,3.311000108718872,3.2895236015319824,78,13,0,1980-01-06T03:55:37
315968138,360100,3335989,-16.39405059814453,3.311000108718872,3.287912130355835,90,13,0,1980-01-06T03:55:38
315968139,360100,3336989,-16.39405059814453,3.311000108718872,3.2959706783294678,100,13,0,1980-01-06T03:55:39
315968140,360100,3337989,-16.39405059814453,3.311000108718872,3.2959706783294678,110,13,0,1980-01-06T03:55:40
315968141,360100,3338989,-16.39405059814453,3.311000108718872,3.2959706783294678,123,13,0,1980-01-06T03:55:41
315968142,360100,3339989,-16.39405059814453,3.311000108718872,3.2959706783294678,133,13,0,1980-01-06T03:55:42
315968143,360100,3340989,-16.39405059814453,3.311000108718872,3.2895236015319824,143,13,0,1980-01-06T03:55:43
315968144,360100,3341989,-16.39405059814453,3.311000108718872,3.2895236015319824,155,13,0,1980-01-06T03:55:44
315968145,360100,3342989,-16.39405059814453,3.311000108718872,3.273406505584717,165,13,0,1980-01-06T03:55:45
315968146,360100,3343989,-16.39405059814453,3.311000108718872,3.2814650535583496,176,13,0,1980-01-06T03:55:46
315968147,360100,3344989,-16.39405059814453,3.311000108718872,3.2830770015716553,188,13,0,1980-01-06T03:55:47
315968148,360100,3345989,-16.39405059814453,3.311000108718872,3.273406505584717,198,13,0,1980-01-06T03:55:48
315968149,360100,3346989,-16.39405059814453,3.311000108718872,3.2830770015716553,208,13,0,1980-01-06T03:55:49
315968150,360100,3347989,-16.39405059814453,3.311000108718872,3.2750184535980225,220,13,0,1980-01-06T03:55:50
315968151,360100,3348989,-16.39405059814453,3.311000108718872,3.273406505584717,231,13,0,1980-01-06T03:55:51
315968152,360100,3349989,-16.09665298461914,3.311000108718872,3.2750184535980225,241,13,0,1980-01-06T03:55:52
315968153,360100,3350989,-16.39405059814453,3.311000108718872,3.2830770015716553,253,13,0,1980-01-06T03:55:53
315968154,360100,3351989,-16.09665298461914,3.311000108718872,3.2814650535583496,7,13,0,1980-01-06T03:55:54
315968155,360100,3352989,-16.39405059814453,3.311000108718872,3.2895236015319824,17,13,0,1980-01-06T03:55:55
315968156,360100,3353989,-16.39405059814453,3.311000108718872,3.2814650535583496,30,13,0,1980-01-06T03:55:56
315968157,360100,3354989,-16.39405059814453,3.311000108718872,3.2814650535583496,40,13,0,1980-01-06T03:55:57
315968158,360100,3355989,-16.39405059814453,3.311000108718872,3.2895236015319824,50,13,0,1980-01-06T03:55:58
315968159,360100,3356989,-16.09665298461914,3.311000108718872,3.2895236015319824,62,13,0,1980-01-06T03:55:59
315968160,360100,3357989,-16.09665298461914,3.311000108718872,3.287912130355835,72,13,0,1980-01-06T03:56:00
315968161,360100,3358989,-16.09665298461914,3.311000108718872,3.2895236015319824,83,13,0,1980-01-06T03:56:01
315968162,360100,3359989,-16.39405059814453,3.311000108718872,3.2814650535583496,95,13,0,1980-01-06T03:56:02
315968163,360100,3360989,-16.09665298461914,3.311000108718872,3.2814650535583496,105,13,0,1980-01-06T03:56:03
315968164,360100,3361989,-16.09665298461914,3.311000108718872,3.2814650535583496,115,13,0,1980-01-06T03:56:04
315968165,360100,3362989,-16.09665298461914,3.311000108718872,3.2814650535583496,127,13,0,1980-01-06T03:56:05
315968166,360100,3363989,-16.09665298461914,3.311000108718872,3.2814650535583496,138,13,0,1980-01-06T03:56:06
315968167,360100,3364989,-16.09665298461914,3.311000108718872,3.2895236015319824,148,13,0,1980-01-06T03:56:07
315968168,360100,3365989,-16.09665298461914,3.311000108718872,3.287912130355835,160,13,0,1980-01-06T03:56:08
315968169,360100,3366989,-16.09665298461914,3.311000108718872,3.284688711166382,170,13,0,1980-01-06T03:56:09
315968170,360100,3367989,-16.09665298461914,3.311000108718872,3.287912130355835,180,13,0,1980-01-06T03:56:10
315968171,360100,3368989,-16.39405059814453,3.311000108718872,3.2669596672058105,193,13,0,1980-01-06T03:56:11
315968172,360100,3369989,-16.39405059814453,3.311000108718872,3.2669596672058105,203,13,0,1980-01-06T03:56:12
315968173,360100,3370989,-16.39405059814453,3.311000108718872,3.2750184535980225,213,13,0,1980-01-06T03:56:13
315968174,360100,3371989,-16.09665298461914,3.311000108718872,3.2750184535980225,225,13,0,1980-01-06T03:56:14
315968175,360100,3372989,-16.09665298461914,3.311000108718872,3.2750184535980225,235,13,0,1980-01-06T03:56:15
315968176,360100,3373989,-16.09665298461914,3.311000108718872,3.2750184535980225,246,13,0,1980-01-06T03:56:16
315968177,360100,3374989,-16.09665298461914,3.311000108718872,3.2669596672058105,2,13,0,1980-01-06T03:56:17
315968178,360100,3375989,-16.39405059814453,3.311000108718872,3.2669596672058105,12,13,0,1980-01-06T03:56:18
315968179,360100,3376989,-16.09665298461914,3.311000108718872,3.2750184535980225,22,13,0,1980-01-06T03:56:19
